nta,norA,norB,sen
380.0,60.0,80.0,330.0
240.0,100.0,80.0,510.0
200.0,90.0,160.0,260.0
280.0,80.0,50.0,200.0
280.0,90.0,70.0,230.0
190.0,80.0,70.0,340.0
210.0,110.0,80.0,
190.0,110.0,90.0,
270.0,70.0,90.0,
,110.0,100.0,
,90.0,100.0,
,90.0,100.0,
,140.0,130.0,
,120.0,100.0,
,90.0,180.0,
,120.0,160.0,
,70.0,100.0,
,100.0,90.0,
,120.0,70.0,
,60.0,80.0,
,120.0,80.0,
,180.0,90.0,
,180.0,80.0,
,160.0,100.0,
,90.0,70.0,
,100.0,70.0,
,120.0,80.0,
,120.0,100.0,
,90.0,90.0,
,100.0,130.0,
,90.0,90.0,
,80.0,80.0,
,100.0,80.0,
,100.0,80.0,
,70.0,80.0,
,90.0,100.0,
,90.0,90.0,
,80.0,120.0,
,70.0,110.0,
,60.0,110.0,
,60.0,110.0,
,100.0,120.0,
,100.0,120.0,
,90.0,80.0,
,80.0,,
,70.0,,
,110.0,,
,80.0,,
,70.0,,
,100.0,,
,70.0,,
,130.0,,
,70.0,,
,100.0,,
,100.0,,
,90.0,,
,110.0,,
,100.0,,
,80.0,,
,130.0,,
,110.0,,
,100.0,,
,80.0,,
,110.0,,
,110.0,,
,90.0,,
,90.0,,
,110.0,,
,140.0,,
,130.0,,
,90.0,,
,110.0,,
,110.0,,
,80.0,,
,80.0,,
,130.0,,
,70.0,,
,60.0,,
,70.0,,
,80.0,,
,90.0,,
,80.0,,
,100.0,,
,90.0,,
,70.0,,
,100.0,,
,80.0,,
,120.0,,
,70.0,,
,90.0,,
,80.0,,
,100.0,,
,60.0,,
,100.0,,
,80.0,,
,100.0,,
,80.0,,
,70.0,,
,110.0,,
,80.0,,
,110.0,,
,80.0,,
,100.0,,
,70.0,,
,130.0,,
,100.0,,
,70.0,,
