0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
80.0,80.0,80.0,110.0,90.0,90.0,100.0,110.0,100.0,150.0,150.0,180.0,110.0,140.0,260.0,130.0,210.0,260.0,100.0,140.0,110.0,130.0,160.0,120.0,140.0,170.0,180.0,150.0,140.0,100.0,90.0,80.0,110.0,70.0,70.0,120.0,180.0,90.0,270.0,100.0,90.0,110.0,100.0,110.0,120.0,260.0,150.0,110.0,190.0,160.0,90.0,120.0,110.0,80.0,110.0,120.0,130.0,140.0,130.0,140.0,260.0,160.0,320.0
80.0,100.0,110.0,90.0,90.0,130.0,90.0,80.0,110.0,70.0,90.0,90.0,110.0,90.0,130.0,70.0,90.0,110.0,130.0,100.0,130.0,90.0,90.0,100.0,170.0,110.0,240.0,230.0,90.0,80.0,80.0,80.0,170.0,70.0,100.0,80.0,60.0,120.0,120.0,110.0,110.0,70.0,80.0,100.0,110.0,110.0,150.0,130.0,180.0,210.0,120.0,110.0,210.0,90.0,100.0,100.0,80.0,370.0,410.0,,,,
70.0,80.0,80.0,90.0,100.0,120.0,140.0,80.0,60.0,100.0,80.0,110.0,80.0,120.0,80.0,90.0,90.0,120.0,100.0,110.0,90.0,80.0,80.0,100.0,70.0,100.0,90.0,110.0,80.0,90.0,80.0,150.0,100.0,190.0,150.0,110.0,90.0,120.0,90.0,120.0,80.0,60.0,120.0,70.0,100.0,210.0,70.0,210.0,90.0,170.0,300.0,110.0,90.0,190.0,80.0,80.0,390.0,580.0,90.0,,,,
80.0,110.0,80.0,80.0,80.0,90.0,100.0,130.0,130.0,120.0,120.0,110.0,90.0,70.0,60.0,80.0,60.0,90.0,100.0,80.0,90.0,80.0,80.0,90.0,80.0,80.0,90.0,110.0,110.0,110.0,90.0,110.0,230.0,110.0,100.0,160.0,240.0,100.0,90.0,80.0,90.0,90.0,100.0,90.0,140.0,130.0,100.0,320.0,180.0,190.0,140.0,200.0,600.0,520.0,80.0,970.0,40.0,,,,,,
110.0,110.0,90.0,100.0,120.0,110.0,120.0,130.0,80.0,100.0,70.0,80.0,80.0,100.0,100.0,100.0,120.0,120.0,70.0,90.0,70.0,90.0,70.0,100.0,100.0,120.0,100.0,120.0,90.0,120.0,290.0,130.0,80.0,170.0,90.0,90.0,80.0,90.0,90.0,160.0,230.0,80.0,150.0,140.0,170.0,110.0,100.0,110.0,110.0,100.0,100.0,90.0,90.0,310.0,310.0,450.0,130.0,,,,,,
70.0,80.0,70.0,90.0,80.0,80.0,70.0,100.0,110.0,70.0,80.0,80.0,80.0,110.0,70.0,60.0,80.0,90.0,120.0,100.0,120.0,80.0,80.0,100.0,170.0,70.0,70.0,80.0,100.0,70.0,70.0,120.0,60.0,70.0,120.0,90.0,200.0,570.0,180.0,120.0,240.0,130.0,100.0,140.0,100.0,100.0,230.0,90.0,260.0,120.0,160.0,90.0,90.0,160.0,240.0,180.0,880.0,,,,,,
80.0,80.0,90.0,80.0,80.0,90.0,80.0,70.0,90.0,90.0,70.0,120.0,100.0,90.0,70.0,80.0,70.0,80.0,100.0,90.0,90.0,110.0,90.0,80.0,100.0,80.0,80.0,100.0,80.0,70.0,90.0,120.0,80.0,120.0,70.0,90.0,80.0,90.0,90.0,140.0,120.0,220.0,280.0,100.0,100.0,250.0,180.0,350.0,140.0,450.0,1150.0,180.0,320.0,390.0,160.0,80.0,,,,,,,
70.0,100.0,70.0,110.0,70.0,140.0,80.0,90.0,90.0,100.0,80.0,90.0,90.0,80.0,80.0,80.0,90.0,120.0,110.0,110.0,80.0,90.0,110.0,100.0,90.0,70.0,80.0,70.0,70.0,80.0,80.0,90.0,100.0,160.0,100.0,80.0,90.0,300.0,230.0,80.0,80.0,170.0,70.0,100.0,110.0,130.0,80.0,270.0,150.0,240.0,250.0,80.0,430.0,380.0,260.0,370.0,,,,,,,
100.0,80.0,70.0,70.0,80.0,100.0,80.0,100.0,90.0,110.0,130.0,220.0,240.0,90.0,80.0,80.0,150.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,130.0,100.0,110.0,90.0,90.0,80.0,90.0,60.0,100.0,90.0,80.0,100.0,80.0,100.0,140.0,100.0,100.0,210.0,110.0,100.0,260.0,340.0,200.0,580.0,160.0,110.0,120.0,80.0,70.0,380.0,220.0,,,,,,,,
60.0,100.0,70.0,60.0,70.0,60.0,70.0,70.0,80.0,50.0,90.0,60.0,110.0,70.0,100.0,110.0,100.0,110.0,70.0,80.0,70.0,90.0,130.0,90.0,70.0,100.0,80.0,80.0,90.0,80.0,110.0,100.0,100.0,90.0,130.0,80.0,90.0,70.0,90.0,100.0,60.0,120.0,70.0,100.0,130.0,90.0,120.0,130.0,80.0,80.0,100.0,120.0,140.0,410.0,,,,,,,,,
70.0,80.0,70.0,80.0,80.0,140.0,110.0,110.0,150.0,120.0,80.0,120.0,90.0,100.0,60.0,80.0,130.0,70.0,220.0,260.0,80.0,120.0,170.0,80.0,250.0,90.0,130.0,110.0,190.0,80.0,110.0,90.0,160.0,140.0,110.0,130.0,330.0,190.0,170.0,190.0,70.0,270.0,120.0,260.0,110.0,120.0,90.0,190.0,80.0,110.0,190.0,180.0,170.0,100.0,,,,,,,,,
90.0,90.0,80.0,80.0,130.0,110.0,100.0,110.0,110.0,80.0,80.0,80.0,120.0,90.0,80.0,100.0,120.0,100.0,110.0,140.0,140.0,110.0,80.0,130.0,120.0,120.0,100.0,100.0,90.0,150.0,100.0,100.0,100.0,260.0,100.0,100.0,100.0,140.0,100.0,110.0,100.0,170.0,80.0,160.0,130.0,140.0,130.0,130.0,130.0,150.0,140.0,150.0,450.0,,,,,,,,,,
120.0,130.0,120.0,130.0,200.0,150.0,50.0,140.0,140.0,140.0,130.0,140.0,80.0,80.0,70.0,80.0,140.0,200.0,220.0,100.0,100.0,210.0,110.0,160.0,140.0,120.0,90.0,280.0,110.0,80.0,150.0,270.0,90.0,90.0,120.0,100.0,180.0,160.0,180.0,360.0,130.0,180.0,100.0,300.0,290.0,130.0,390.0,320.0,210.0,280.0,440.0,,,,,,,,,,,,
90.0,90.0,120.0,110.0,120.0,110.0,130.0,110.0,130.0,110.0,80.0,90.0,80.0,100.0,120.0,110.0,140.0,110.0,110.0,100.0,110.0,110.0,120.0,100.0,130.0,140.0,90.0,110.0,110.0,100.0,140.0,130.0,510.0,160.0,130.0,120.0,90.0,100.0,110.0,120.0,140.0,100.0,110.0,110.0,110.0,190.0,920.0,400.0,160.0,670.0,,,,,,,,,,,,,
80.0,80.0,80.0,80.0,80.0,70.0,90.0,60.0,90.0,90.0,110.0,80.0,80.0,100.0,70.0,90.0,130.0,70.0,100.0,80.0,290.0,120.0,80.0,60.0,130.0,80.0,110.0,160.0,80.0,80.0,80.0,80.0,90.0,130.0,170.0,70.0,70.0,80.0,90.0,80.0,200.0,90.0,190.0,270.0,350.0,260.0,140.0,360.0,500.0,,,,,,,,,,,,,,
