nta,norA,norB,sen
260.0,120.0,170.0,210.0
210.0,100.0,100.0,420.0
340.0,110.0,90.0,430.0
280.0,180.0,180.0,210.0
220.0,90.0,110.0,200.0
340.0,90.0,150.0,200.0
200.0,80.0,120.0,280.0
190.0,90.0,80.0,350.0
200.0,80.0,110.0,200.0
190.0,60.0,110.0,310.0
190.0,80.0,130.0,570.0
230.0,90.0,150.0,400.0
260.0,50.0,90.0,650.0
230.0,180.0,160.0,340.0
390.0,90.0,130.0,390.0
200.0,100.0,120.0,360.0
230.0,90.0,150.0,240.0
190.0,70.0,150.0,580.0
240.0,70.0,120.0,240.0
250.0,70.0,120.0,200.0
280.0,80.0,130.0,190.0
310.0,80.0,110.0,190.0
200.0,140.0,160.0,450.0
200.0,160.0,170.0,260.0
290.0,90.0,160.0,440.0
250.0,90.0,180.0,400.0
480.0,100.0,160.0,240.0
190.0,120.0,100.0,230.0
230.0,70.0,160.0,190.0
300.0,80.0,90.0,460.0
450.0,70.0,80.0,420.0
400.0,100.0,90.0,370.0
200.0,90.0,100.0,260.0
430.0,140.0,80.0,260.0
400.0,90.0,90.0,190.0
210.0,130.0,70.0,240.0
240.0,110.0,130.0,240.0
220.0,120.0,170.0,260.0
350.0,130.0,90.0,400.0
220.0,80.0,120.0,280.0
200.0,70.0,90.0,370.0
190.0,70.0,100.0,510.0
210.0,60.0,120.0,210.0
210.0,70.0,90.0,230.0
230.0,80.0,160.0,370.0
210.0,100.0,150.0,210.0
210.0,110.0,130.0,290.0
330.0,90.0,170.0,290.0
190.0,150.0,160.0,340.0
390.0,60.0,110.0,330.0
270.0,70.0,110.0,270.0
320.0,70.0,100.0,320.0
450.0,70.0,100.0,570.0
360.0,90.0,100.0,320.0
500.0,60.0,100.0,230.0
300.0,80.0,90.0,200.0
260.0,110.0,110.0,450.0
420.0,150.0,100.0,270.0
540.0,90.0,110.0,190.0
270.0,100.0,120.0,410.0
230.0,110.0,160.0,270.0
270.0,80.0,130.0,670.0
260.0,100.0,110.0,400.0
480.0,90.0,100.0,420.0
260.0,180.0,80.0,200.0
290.0,180.0,70.0,320.0
470.0,100.0,90.0,200.0
190.0,100.0,80.0,500.0
280.0,90.0,110.0,210.0
210.0,90.0,180.0,470.0
250.0,100.0,170.0,410.0
260.0,90.0,130.0,230.0
230.0,110.0,90.0,230.0
210.0,80.0,100.0,370.0
250.0,110.0,110.0,330.0
390.0,110.0,110.0,500.0
190.0,110.0,110.0,190.0
280.0,110.0,150.0,360.0
200.0,160.0,110.0,230.0
230.0,70.0,140.0,220.0
200.0,130.0,110.0,530.0
240.0,180.0,120.0,200.0
200.0,150.0,120.0,340.0
190.0,140.0,150.0,350.0
200.0,70.0,150.0,240.0
330.0,110.0,70.0,370.0
230.0,80.0,90.0,410.0
490.0,80.0,80.0,460.0
250.0,80.0,60.0,220.0
250.0,80.0,70.0,250.0
240.0,70.0,80.0,230.0
190.0,70.0,80.0,220.0
350.0,100.0,80.0,290.0
430.0,90.0,80.0,250.0
230.0,100.0,80.0,190.0
200.0,90.0,90.0,360.0
560.0,120.0,90.0,240.0
190.0,70.0,140.0,250.0
220.0,90.0,130.0,200.0
200.0,120.0,70.0,330.0
580.0,60.0,90.0,300.0
200.0,100.0,180.0,260.0
190.0,100.0,130.0,240.0
190.0,80.0,110.0,530.0
250.0,110.0,140.0,210.0
720.0,120.0,110.0,490.0
380.0,130.0,80.0,520.0
240.0,120.0,150.0,320.0
200.0,80.0,60.0,280.0
280.0,90.0,120.0,220.0
300.0,100.0,150.0,560.0
330.0,100.0,160.0,300.0
210.0,90.0,180.0,240.0
250.0,80.0,70.0,400.0
450.0,110.0,80.0,230.0
600.0,80.0,130.0,310.0
190.0,90.0,100.0,370.0
200.0,100.0,180.0,200.0
230.0,80.0,160.0,360.0
210.0,110.0,110.0,290.0
200.0,130.0,150.0,350.0
480.0,60.0,170.0,530.0
340.0,90.0,120.0,190.0
190.0,90.0,180.0,230.0
230.0,80.0,170.0,280.0
190.0,90.0,100.0,390.0
310.0,80.0,90.0,410.0
210.0,90.0,80.0,220.0
220.0,80.0,140.0,380.0
210.0,80.0,180.0,410.0
210.0,90.0,170.0,270.0
190.0,80.0,110.0,350.0
200.0,120.0,100.0,260.0
250.0,150.0,120.0,230.0
240.0,70.0,100.0,240.0
200.0,70.0,120.0,190.0
280.0,70.0,110.0,240.0
390.0,90.0,90.0,410.0
410.0,90.0,110.0,380.0
200.0,70.0,130.0,190.0
720.0,130.0,100.0,190.0
190.0,80.0,150.0,210.0
360.0,130.0,110.0,910.0
220.0,70.0,120.0,230.0
280.0,80.0,180.0,410.0
200.0,80.0,120.0,380.0
190.0,70.0,70.0,290.0
210.0,70.0,100.0,300.0
250.0,80.0,80.0,260.0
280.0,80.0,80.0,550.0
200.0,70.0,90.0,240.0
220.0,80.0,100.0,220.0
230.0,80.0,70.0,290.0
210.0,70.0,110.0,390.0
190.0,90.0,90.0,220.0
310.0,90.0,90.0,220.0
190.0,60.0,100.0,450.0
230.0,50.0,90.0,640.0
230.0,150.0,80.0,270.0
270.0,80.0,90.0,290.0
200.0,70.0,120.0,470.0
280.0,110.0,120.0,330.0
190.0,130.0,90.0,320.0
230.0,100.0,120.0,220.0
260.0,120.0,140.0,210.0
230.0,80.0,110.0,340.0
200.0,60.0,100.0,230.0
250.0,70.0,100.0,560.0
240.0,70.0,120.0,540.0
210.0,60.0,130.0,320.0
190.0,70.0,130.0,280.0
190.0,70.0,130.0,200.0
570.0,60.0,120.0,540.0
220.0,70.0,80.0,210.0
230.0,80.0,90.0,240.0
230.0,60.0,90.0,540.0
290.0,70.0,100.0,860.0
190.0,60.0,160.0,910.0
240.0,90.0,150.0,270.0
300.0,80.0,70.0,290.0
340.0,120.0,90.0,300.0
350.0,70.0,140.0,400.0
200.0,70.0,80.0,400.0
190.0,70.0,110.0,290.0
400.0,100.0,170.0,190.0
240.0,80.0,90.0,710.0
260.0,90.0,100.0,240.0
200.0,100.0,110.0,410.0
250.0,80.0,110.0,270.0
210.0,70.0,90.0,480.0
360.0,100.0,180.0,410.0
340.0,80.0,130.0,260.0
510.0,70.0,130.0,320.0
370.0,90.0,100.0,480.0
230.0,130.0,150.0,210.0
280.0,90.0,140.0,260.0
200.0,80.0,160.0,210.0
330.0,70.0,140.0,290.0
200.0,70.0,110.0,350.0
350.0,80.0,70.0,230.0
200.0,90.0,80.0,460.0
200.0,80.0,80.0,640.0
210.0,90.0,100.0,190.0
470.0,120.0,160.0,210.0
320.0,90.0,110.0,520.0
390.0,80.0,70.0,730.0
210.0,130.0,80.0,
330.0,90.0,120.0,
190.0,110.0,80.0,
300.0,80.0,100.0,
260.0,90.0,60.0,
420.0,120.0,90.0,
540.0,80.0,80.0,
230.0,80.0,110.0,
230.0,110.0,170.0,
220.0,70.0,100.0,
220.0,90.0,100.0,
210.0,80.0,160.0,
370.0,90.0,150.0,
220.0,100.0,90.0,
360.0,90.0,170.0,
210.0,70.0,120.0,
200.0,80.0,120.0,
220.0,70.0,150.0,
540.0,80.0,110.0,
340.0,100.0,120.0,
230.0,100.0,80.0,
220.0,110.0,90.0,
240.0,90.0,90.0,
250.0,90.0,160.0,
220.0,120.0,140.0,
250.0,110.0,110.0,
600.0,110.0,160.0,
320.0,160.0,120.0,
220.0,120.0,140.0,
220.0,100.0,90.0,
210.0,120.0,140.0,
330.0,100.0,150.0,
210.0,80.0,100.0,
210.0,110.0,110.0,
190.0,100.0,180.0,
240.0,120.0,160.0,
280.0,90.0,120.0,
380.0,90.0,170.0,
200.0,90.0,120.0,
280.0,70.0,70.0,
190.0,100.0,70.0,
430.0,80.0,80.0,
1120.0,120.0,70.0,
200.0,100.0,70.0,
240.0,100.0,80.0,
220.0,90.0,110.0,
240.0,110.0,80.0,
280.0,90.0,80.0,
280.0,130.0,110.0,
190.0,80.0,70.0,
300.0,80.0,160.0,
560.0,100.0,100.0,
200.0,100.0,140.0,
260.0,60.0,170.0,
450.0,70.0,90.0,
290.0,80.0,130.0,
200.0,60.0,90.0,
