avg,std,all
8.11625,1.2523870957096295,[9.22 9.6  9.41 9.22 6.98 6.89 6.77 6.84]
7.13875,0.1818954026356905,[7.38 7.43 7.16 7.11 7.1  7.14 6.89 6.9 ]
6.876250000000001,0.1867443104889678,[7.17 6.87 6.63 6.99 7.05 6.91 6.59 6.8 ]
7.12875,0.47250496029142386,[8.   7.4  7.1  7.56 6.87 6.9  6.39 6.81]
5.085,0.4797916214358061,[5.94 4.78 4.98 4.4  5.28 5.46 4.53 5.31]
3.46875,1.1928478266317124,[3.22 2.18 2.74 2.   4.68 5.31 2.84 4.78]
1.043,0.2554721119809362,[1.26  1.04  0.7   0.68  1.342 1.316 0.832 1.174]
2.3035,2.041823143663525,[4.4   6.82  1.58  0.52  1.9   1.172 1.248 0.788]
5.9325,2.1077757826675967,[7.76 7.74 7.18 4.64 7.31 5.05 6.6  1.18]
6.845000000000001,0.7949842765740717,[7.48 7.62 7.12 7.58 6.97 6.43 6.48 5.08]
